"Tabela 3653 - Produção Física Industrial, por seções e atividades industriais"
"Variável - Índice de base fixa sem ajuste sazonal (Base: média de 2012 = 100) (Número-índice)"
"Mês";"Unidade da Federação";"Seções e atividades industriais (CNAE 2.0)";""
"setembro 2003";"Bahia";"3.14 Confecção de artigos do vestuário e acessórios";"-"
"outubro 2003";"Ceará";"3.14 Confecção de artigos do vestuário e acessórios";"153,6"
"outubro 2003";"Pernambuco";"3.14 Confecção de artigos do vestuário e acessórios";"-"
"outubro 2003";"Bahia";"3.14 Confecção de artigos do vestuário e acessórios";"-"
"novembro 2003";"Ceará";"3.14 Confecção de artigos do vestuário e acessórios";"144,4"
"novembro 2003";"Pernambuco";"3.14 Confecção de artigos do vestuário e acessórios";"-"
"novembro 2003";"Bahia";"3.14 Confecção de artigos do vestuário e acessórios";"-"
"dezembro 2003";"Ceará";"3.14 Confecção de artigos do vestuário e acessórios";"116,9"
"dezembro 2003";"Pernambuco";"3.14 Confecção de artigos do vestuário e acessórios";"-"
"dezembro 2003";"Bahia";"3.14 Confecção de artigos do vestuário e acessórios";"-"
"janeiro 2004";"Ceará";"3.14 Confecção de artigos do vestuário e acessórios";"108,9"
"janeiro 2004";"Pernambuco";"3.14 Confecção de artigos do vestuário e acessórios";"-"
"janeiro 2004";"Bahia";"3.14 Confecção de artigos do vestuário e acessórios";"-"
"fevereiro 2004";"Ceará";"3.14 Confecção de artigos do vestuário e acessórios";"81,6"
"fevereiro 2004";"Pernambuco";"3.14 Confecção de artigos do vestuário e acessórios";"-"
"fevereiro 2004";"Bahia";"3.14 Confecção de artigos do vestuário e acessórios";"-"
"março 2004";"Ceará";"3.14 Confecção de artigos do vestuário e acessórios";"110,2"
"março 2004";"Pernambuco";"3.14 Confecção de artigos do vestuário e acessórios";"-"
"março 2004";"Bahia";"3.14 Confecção de artigos do vestuário e acessórios";"-"
"abril 2004";"Ceará";"3.14 Confecção de artigos do vestuário e acessórios";"131,3"
"abril 2004";"Pernambuco";"3.14 Confecção de artigos do vestuário e acessórios";"-"
"abril 2004";"Bahia";"3.14 Confecção de artigos do vestuário e acessórios";"-"
"maio 2004";"Ceará";"3.14 Confecção de artigos do vestuário e acessórios";"137,9"
"maio 2004";"Pernambuco";"3.14 Confecção de artigos do vestuário e acessórios";"-"
"maio 2004";"Bahia";"3.14 Confecção de artigos do vestuário e acessórios";"-"
"junho 2004";"Ceará";"3.14 Confecção de artigos do vestuário e acessórios";"170,2"
"junho 2004";"Pernambuco";"3.14 Confecção de artigos do vestuário e acessórios";"-"
