"Tabela 3653 - Produção Física Industrial, por seções e atividades industriais"
"Variável - Índice de base fixa sem ajuste sazonal (Base: média de 2012 = 100) (Número-índice)"
"julho 2009";"Brasil";"1 Indústria geral";"97,7"
"agosto 2009";"Brasil";"1 Indústria geral";"99,6"
"setembro 2009";"Brasil";"1 Indústria geral";"99,4"
"outubro 2009";"Brasil";"1 Indústria geral";"105,6"
"novembro 2009";"Brasil";"1 Indústria geral";"101,4"
"dezembro 2009";"Brasil";"1 Indústria geral";"94,1"
"janeiro 2010";"Brasil";"1 Indústria geral";"91,2"
"fevereiro 2010";"Brasil";"1 Indústria geral";"89,0"
"março 2010";"Brasil";"1 Indústria geral";"105,1"
"abril 2010";"Brasil";"1 Indústria geral";"99,3"
"maio 2010";"Brasil";"1 Indústria geral";"104,3"
"junho 2010";"Brasil";"1 Indústria geral";"102,5"
"julho 2010";"Brasil";"1 Indústria geral";"106,9"
"agosto 2010";"Brasil";"1 Indústria geral";"108,1"
"setembro 2010";"Brasil";"1 Indústria geral";"105,8"
"outubro 2010";"Brasil";"1 Indústria geral";"107,7"
"novembro 2010";"Brasil";"1 Indústria geral";"106,8"
"dezembro 2010";"Brasil";"1 Indústria geral";"96,6"
"janeiro 2011";"Brasil";"1 Indústria geral";"93,2"
"fevereiro 2011";"Brasil";"1 Indústria geral";"95,4"
"março 2011";"Brasil";"1 Indústria geral";"104,4"
"abril 2011";"Brasil";"1 Indústria geral";"97,5"
"maio 2011";"Brasil";"1 Indústria geral";"107,1"
"junho 2011";"Brasil";"1 Indústria geral";"102,8"
"julho 2011";"Brasil";"1 Indústria geral";"106,1"
"agosto 2011";"Brasil";"1 Indústria geral";"110,8"
"setembro 2011";"Brasil";"1 Indústria geral";"104,8"
"outubro 2011";"Brasil";"1 Indústria geral";"106,3"
"novembro 2011";"Brasil";"1 Indústria geral";"104,2"
"dezembro 2011";"Brasil";"1 Indústria geral";"95,7"
"janeiro 2012";"Brasil";"1 Indústria geral";"88,7"
"fevereiro 2012";"Brasil";"1 Indústria geral";"89,8"
"março 2012";"Brasil";"1 Indústria geral";"99,7"
"abril 2012";"Brasil";"1 Indústria geral";"92,8"
"maio 2012";"Brasil";"1 Indústria geral";"102,5"
"junho 2012";"Brasil";"1 Indústria geral";"98,3"
"julho 2012";"Brasil";"1 Indústria geral";"104,5"
"agosto 2012";"Brasil";"1 Indústria geral";"111,5"
"setembro 2012";"Brasil";"1 Indústria geral";"103,4"
"outubro 2012";"Brasil";"1 Indústria geral";"111,8"
"novembro 2012";"Brasil";"1 Indústria geral";"104,8"
"dezembro 2012";"Brasil";"1 Indústria geral";"92,2"
"janeiro 2013";"Brasil";"1 Indústria geral";"94,5"
"fevereiro 2013";"Brasil";"1 Indústria geral";"88,1"
"março 2013";"Brasil";"1 Indústria geral";"97,7"
"abril 2013";"Brasil";"1 Indústria geral";"101,8"
"maio 2013";"Brasil";"1 Indústria geral";"105,0"
"junho 2013";"Brasil";"1 Indústria geral";"101,7"
"julho 2013";"Brasil";"1 Indústria geral";"108,0"
"agosto 2013";"Brasil";"1 Indústria geral";"112,0"
"setembro 2013";"Brasil";"1 Indústria geral";"107,3"
"outubro 2013";"Brasil";"1 Indústria geral";"112,6"
"novembro 2013";"Brasil";"1 Indústria geral";"106,1"
"dezembro 2013";"Brasil";"1 Indústria geral";"90,1"
"janeiro 2014";"Brasil";"1 Indústria geral";"92,6"
"fevereiro 2014";"Brasil";"1 Indústria geral";"92,3"
"março 2014";"Brasil";"1 Indústria geral";"97,3"
"abril 2014";"Brasil";"1 Indústria geral";"96,0"
"maio 2014";"Brasil";"1 Indústria geral";"101,7"
"junho 2014";"Brasil";"1 Indústria geral";"94,9"
"julho 2014";"Brasil";"1 Indústria geral";"104,4"
"agosto 2014";"Brasil";"1 Indústria geral";"106,3"
"setembro 2014";"Brasil";"1 Indústria geral";"105,6"
"outubro 2014";"Brasil";"1 Indústria geral";"109,3"
"novembro 2014";"Brasil";"1 Indústria geral";"99,8"
"dezembro 2014";"Brasil";"1 Indústria geral";"87,7"
"janeiro 2015";"Brasil";"1 Indústria geral";"88,1"
"fevereiro 2015";"Brasil";"1 Indústria geral";"83,7"
"março 2015";"Brasil";"1 Indústria geral";"94,3"
"abril 2015";"Brasil";"1 Indústria geral";"88,8"
"maio 2015";"Brasil";"1 Indústria geral";"93,1"
"junho 2015";"Brasil";"1 Indústria geral";"92,5"
"julho 2015";"Brasil";"1 Indústria geral";"95,5"
"agosto 2015";"Brasil";"1 Indústria geral";"97,6"
"setembro 2015";"Brasil";"1 Indústria geral";"94,3"
"outubro 2015";"Brasil";"1 Indústria geral";"97,2"
"novembro 2015";"Brasil";"1 Indústria geral";"87,6"
"dezembro 2015";"Brasil";"1 Indústria geral";"77,2"
"janeiro 2016";"Brasil";"1 Indústria geral";"76,3"
"fevereiro 2016";"Brasil";"1 Indústria geral";"75,8"
"março 2016";"Brasil";"1 Indústria geral";"83,7"
"abril 2016";"Brasil";"1 Indústria geral";"83,0"
"maio 2016";"Brasil";"1 Indústria geral";"86,3"
"junho 2016";"Brasil";"1 Indústria geral";"87,7"
"julho 2016";"Brasil";"1 Indústria geral";"89,6"
"agosto 2016";"Brasil";"1 Indústria geral";"93,0"
"setembro 2016";"Brasil";"1 Indústria geral";"90,7"
"outubro 2016";"Brasil";"1 Indústria geral";"90,2"
"novembro 2016";"Brasil";"1 Indústria geral";"86,5"
"dezembro 2016";"Brasil";"1 Indústria geral";"77,2"
"janeiro 2017";"Brasil";"1 Indústria geral";"77,8"
"fevereiro 2017";"Brasil";"1 Indústria geral";"75,7"
"março 2017";"Brasil";"1 Indústria geral";"85,3"
"abril 2017";"Brasil";"1 Indústria geral";"79,4"
"maio 2017";"Brasil";"1 Indústria geral";"90,2"
"junho 2017";"Brasil";"1 Indústria geral";"88,4"
"julho 2017";"Brasil";"1 Indústria geral";"92,2"
"agosto 2017";"Brasil";"1 Indústria geral";"96,8"
"setembro 2017";"Brasil";"1 Indústria geral";"93,0"
"outubro 2017";"Brasil";"1 Indústria geral";"95,2"
"novembro 2017";"Brasil";"1 Indústria geral";"90,6"
"dezembro 2017";"Brasil";"1 Indústria geral";"80,6"
"Fonte: IBGE - Pesquisa Industrial Mensal - Produção Física"
