"Tabela 3653 - Produção Física Industrial, por seções e atividades industriais"
"Variável - Índice de base fixa sem ajuste sazonal (Base: média de 2012 = 100) (Número-índice)"
"Mês";"Unidade da Federação";"Seções e atividades industriais (CNAE 2.0)";""
"maio 2004";"Bahia";"3.24 Metalurgia";"130,1"
"junho 2004";"Ceará";"3.24 Metalurgia";"-"
"junho 2004";"Pernambuco";"3.24 Metalurgia";"-"
"junho 2004";"Bahia";"3.24 Metalurgia";"127,8"
"julho 2004";"Ceará";"3.24 Metalurgia";"-"
"julho 2004";"Pernambuco";"3.24 Metalurgia";"-"
"julho 2004";"Bahia";"3.24 Metalurgia";"105,0"
"agosto 2004";"Ceará";"3.24 Metalurgia";"-"
"agosto 2004";"Pernambuco";"3.24 Metalurgia";"-"
"agosto 2004";"Bahia";"3.24 Metalurgia";"126,8"
"setembro 2004";"Ceará";"3.24 Metalurgia";"-"
"setembro 2004";"Pernambuco";"3.24 Metalurgia";"-"
"setembro 2004";"Bahia";"3.24 Metalurgia";"120,1"
"outubro 2004";"Ceará";"3.24 Metalurgia";"-"
"outubro 2004";"Pernambuco";"3.24 Metalurgia";"-"
"outubro 2004";"Bahia";"3.24 Metalurgia";"113,9"
"novembro 2004";"Ceará";"3.24 Metalurgia";"-"
"novembro 2004";"Pernambuco";"3.24 Metalurgia";"-"
"novembro 2004";"Bahia";"3.24 Metalurgia";"116,5"
"dezembro 2004";"Ceará";"3.24 Metalurgia";"-"
"dezembro 2004";"Pernambuco";"3.24 Metalurgia";"-"
"dezembro 2004";"Bahia";"3.24 Metalurgia";"112,8"
"janeiro 2005";"Ceará";"3.24 Metalurgia";"-"
"janeiro 2005";"Pernambuco";"3.24 Metalurgia";"-"
"janeiro 2005";"Bahia";"3.24 Metalurgia";"107,6"
"fevereiro 2005";"Ceará";"3.24 Metalurgia";"-"
"fevereiro 2005";"Pernambuco";"3.24 Metalurgia";"-"
"fevereiro 2005";"Bahia";"3.24 Metalurgia";"113,9"
"março 2005";"Ceará";"3.24 Metalurgia";"-"
"março 2005";"Pernambuco";"3.24 Metalurgia";"-"
"março 2005";"Bahia";"3.24 Metalurgia";"117,1"
"abril 2005";"Ceará";"3.24 Metalurgia";"-"
"abril 2005";"Pernambuco";"3.24 Metalurgia";"-"
"abril 2005";"Bahia";"3.24 Metalurgia";"100,0"
"maio 2005";"Ceará";"3.24 Metalurgia";"-"
"maio 2005";"Pernambuco";"3.24 Metalurgia";"-"
"maio 2005";"Bahia";"3.24 Metalurgia";"94,4"
"junho 2005";"Ceará";"3.24 Metalurgia";"-"
"junho 2005";"Pernambuco";"3.24 Metalurgia";"-"
"junho 2005";"Bahia";"3.24 Metalurgia";"129,3"
"julho 2005";"Ceará";"3.24 Metalurgia";"-"
"julho 2005";"Pernambuco";"3.24 Metalurgia";"-"
"julho 2005";"Bahia";"3.24 Metalurgia";"128,6"
"agosto 2005";"Ceará";"3.24 Metalurgia";"-"
"agosto 2005";"Pernambuco";"3.24 Metalurgia";"-"
"agosto 2005";"Bahia";"3.24 Metalurgia";"124,9"
"setembro 2005";"Ceará";"3.24 Metalurgia";"-"
"setembro 2005";"Pernambuco";"3.24 Metalurgia";"-"
"setembro 2005";"Bahia";"3.24 Metalurgia";"132,9"
"outubro 2005";"Ceará";"3.24 Metalurgia";"-"
"outubro 2005";"Pernambuco";"3.24 Metalurgia";"-"
"outubro 2005";"Bahia";"3.24 Metalurgia";"133,0"
"novembro 2005";"Ceará";"3.24 Metalurgia";"-"
"novembro 2005";"Pernambuco";"3.24 Metalurgia";"-"
"novembro 2005";"Bahia";"3.24 Metalurgia";"127,1"
"dezembro 2005";"Ceará";"3.24 Metalurgia";"-"
"dezembro 2005";"Pernambuco";"3.24 Metalurgia";"-"
"dezembro 2005";"Bahia";"3.24 Metalurgia";"130,5"
"janeiro 2006";"Ceará";"3.24 Metalurgia";"-"
"janeiro 2006";"Pernambuco";"3.24 Metalurgia";"-"
"janeiro 2006";"Bahia";"3.24 Metalurgia";"118,8"
"fevereiro 2006";"Ceará";"3.24 Metalurgia";"-"
"fevereiro 2006";"Pernambuco";"3.24 Metalurgia";"-"
"fevereiro 2006";"Bahia";"3.24 Metalurgia";"128,0"
"março 2006";"Ceará";"3.24 Metalurgia";"-"
