"Tabela 3653 - Produção Física Industrial, por seções e atividades industriais"
"Variável - Índice de base fixa sem ajuste sazonal (Base: média de 2012 = 100) (Número-índice)"
"Mês";"Unidade da Federação";"Seções e atividades industriais (CNAE 2.0)";""
"setembro 2003";"Ceará";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"setembro 2003";"Pernambuco";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"setembro 2003";"Bahia";"3.17 Fabricação de celulose, papel e produtos de papel";"45,2"
"outubro 2003";"Ceará";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"outubro 2003";"Pernambuco";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"outubro 2003";"Bahia";"3.17 Fabricação de celulose, papel e produtos de papel";"58,8"
"novembro 2003";"Ceará";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"novembro 2003";"Pernambuco";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"novembro 2003";"Bahia";"3.17 Fabricação de celulose, papel e produtos de papel";"54,0"
"dezembro 2003";"Ceará";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"dezembro 2003";"Pernambuco";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"dezembro 2003";"Bahia";"3.17 Fabricação de celulose, papel e produtos de papel";"57,5"
"janeiro 2004";"Ceará";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"janeiro 2004";"Pernambuco";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"janeiro 2004";"Bahia";"3.17 Fabricação de celulose, papel e produtos de papel";"57,9"
"fevereiro 2004";"Ceará";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"fevereiro 2004";"Pernambuco";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"fevereiro 2004";"Bahia";"3.17 Fabricação de celulose, papel e produtos de papel";"49,6"
"março 2004";"Ceará";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"março 2004";"Pernambuco";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"março 2004";"Bahia";"3.17 Fabricação de celulose, papel e produtos de papel";"56,8"
"abril 2004";"Ceará";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"abril 2004";"Pernambuco";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"abril 2004";"Bahia";"3.17 Fabricação de celulose, papel e produtos de papel";"40,8"
"maio 2004";"Ceará";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"maio 2004";"Pernambuco";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"maio 2004";"Bahia";"3.17 Fabricação de celulose, papel e produtos de papel";"57,5"
"junho 2004";"Ceará";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"junho 2004";"Pernambuco";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"junho 2004";"Bahia";"3.17 Fabricação de celulose, papel e produtos de papel";"55,7"
"julho 2004";"Ceará";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"julho 2004";"Pernambuco";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"julho 2004";"Bahia";"3.17 Fabricação de celulose, papel e produtos de papel";"57,4"
"agosto 2004";"Ceará";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"agosto 2004";"Pernambuco";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"agosto 2004";"Bahia";"3.17 Fabricação de celulose, papel e produtos de papel";"58,6"
"setembro 2004";"Ceará";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"setembro 2004";"Pernambuco";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"setembro 2004";"Bahia";"3.17 Fabricação de celulose, papel e produtos de papel";"55,0"
"outubro 2004";"Ceará";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"outubro 2004";"Pernambuco";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"outubro 2004";"Bahia";"3.17 Fabricação de celulose, papel e produtos de papel";"53,4"
"novembro 2004";"Ceará";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"novembro 2004";"Pernambuco";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"novembro 2004";"Bahia";"3.17 Fabricação de celulose, papel e produtos de papel";"41,9"
"dezembro 2004";"Ceará";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"dezembro 2004";"Pernambuco";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"dezembro 2004";"Bahia";"3.17 Fabricação de celulose, papel e produtos de papel";"35,9"
"janeiro 2005";"Ceará";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"janeiro 2005";"Pernambuco";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"janeiro 2005";"Bahia";"3.17 Fabricação de celulose, papel e produtos de papel";"58,2"
"fevereiro 2005";"Ceará";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"fevereiro 2005";"Pernambuco";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"fevereiro 2005";"Bahia";"3.17 Fabricação de celulose, papel e produtos de papel";"50,7"
"março 2005";"Ceará";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"março 2005";"Pernambuco";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"março 2005";"Bahia";"3.17 Fabricação de celulose, papel e produtos de papel";"58,6"
"abril 2005";"Ceará";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"abril 2005";"Pernambuco";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"abril 2005";"Bahia";"3.17 Fabricação de celulose, papel e produtos de papel";"55,2"
"maio 2005";"Ceará";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"maio 2005";"Pernambuco";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"maio 2005";"Bahia";"3.17 Fabricação de celulose, papel e produtos de papel";"54,8"
"junho 2005";"Ceará";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"junho 2005";"Pernambuco";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"junho 2005";"Bahia";"3.17 Fabricação de celulose, papel e produtos de papel";"58,4"
"julho 2005";"Ceará";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"julho 2005";"Pernambuco";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"julho 2005";"Bahia";"3.17 Fabricação de celulose, papel e produtos de papel";"65,3"
"agosto 2005";"Ceará";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"agosto 2005";"Pernambuco";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"agosto 2005";"Bahia";"3.17 Fabricação de celulose, papel e produtos de papel";"66,2"
"setembro 2005";"Ceará";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"setembro 2005";"Pernambuco";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"setembro 2005";"Bahia";"3.17 Fabricação de celulose, papel e produtos de papel";"61,0"
"outubro 2005";"Ceará";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"outubro 2005";"Pernambuco";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"outubro 2005";"Bahia";"3.17 Fabricação de celulose, papel e produtos de papel";"73,8"
"novembro 2005";"Ceará";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"novembro 2005";"Pernambuco";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
