"Tabela 3653 - Produção Física Industrial, por seções e atividades industriais"
"Variável - Índice de base fixa sem ajuste sazonal (Base: média de 2012 = 100) (Número-índice)"
"Mês";"Unidade da Federação";"Seções e atividades industriais (CNAE 2.0)";""
"abril 2004";"Bahia";"2 Indústrias extrativas";"99,8"
"maio 2004";"Ceará";"2 Indústrias extrativas";"-"
"maio 2004";"Pernambuco";"2 Indústrias extrativas";"-"
"maio 2004";"Bahia";"2 Indústrias extrativas";"96,3"
"junho 2004";"Ceará";"2 Indústrias extrativas";"-"
"junho 2004";"Pernambuco";"2 Indústrias extrativas";"-"
"junho 2004";"Bahia";"2 Indústrias extrativas";"101,2"
"julho 2004";"Ceará";"2 Indústrias extrativas";"-"
"julho 2004";"Pernambuco";"2 Indústrias extrativas";"-"
"julho 2004";"Bahia";"2 Indústrias extrativas";"107,2"
"agosto 2004";"Ceará";"2 Indústrias extrativas";"-"
"agosto 2004";"Pernambuco";"2 Indústrias extrativas";"-"
"agosto 2004";"Bahia";"2 Indústrias extrativas";"107,9"
"setembro 2004";"Ceará";"2 Indústrias extrativas";"-"
"setembro 2004";"Pernambuco";"2 Indústrias extrativas";"-"
"setembro 2004";"Bahia";"2 Indústrias extrativas";"103,7"
"outubro 2004";"Ceará";"2 Indústrias extrativas";"-"
"outubro 2004";"Pernambuco";"2 Indústrias extrativas";"-"
"outubro 2004";"Bahia";"2 Indústrias extrativas";"108,2"
"novembro 2004";"Ceará";"2 Indústrias extrativas";"-"
"novembro 2004";"Pernambuco";"2 Indústrias extrativas";"-"
"novembro 2004";"Bahia";"2 Indústrias extrativas";"99,2"
"dezembro 2004";"Ceará";"2 Indústrias extrativas";"-"
"dezembro 2004";"Pernambuco";"2 Indústrias extrativas";"-"
"dezembro 2004";"Bahia";"2 Indústrias extrativas";"99,3"
"janeiro 2005";"Ceará";"2 Indústrias extrativas";"-"
"janeiro 2005";"Pernambuco";"2 Indústrias extrativas";"-"
"janeiro 2005";"Bahia";"2 Indústrias extrativas";"94,5"
"fevereiro 2005";"Ceará";"2 Indústrias extrativas";"-"
"fevereiro 2005";"Pernambuco";"2 Indústrias extrativas";"-"
"fevereiro 2005";"Bahia";"2 Indústrias extrativas";"87,9"
"março 2005";"Ceará";"2 Indústrias extrativas";"-"
"março 2005";"Pernambuco";"2 Indústrias extrativas";"-"
"março 2005";"Bahia";"2 Indústrias extrativas";"101,5"
"abril 2005";"Ceará";"2 Indústrias extrativas";"-"
"abril 2005";"Pernambuco";"2 Indústrias extrativas";"-"
"abril 2005";"Bahia";"2 Indústrias extrativas";"95,6"
"maio 2005";"Ceará";"2 Indústrias extrativas";"-"
"maio 2005";"Pernambuco";"2 Indústrias extrativas";"-"
"maio 2005";"Bahia";"2 Indústrias extrativas";"99,4"
"junho 2005";"Ceará";"2 Indústrias extrativas";"-"
"junho 2005";"Pernambuco";"2 Indústrias extrativas";"-"
"junho 2005";"Bahia";"2 Indústrias extrativas";"94,8"
"julho 2005";"Ceará";"2 Indústrias extrativas";"-"
"julho 2005";"Pernambuco";"2 Indústrias extrativas";"-"
"julho 2005";"Bahia";"2 Indústrias extrativas";"102,1"
"agosto 2005";"Ceará";"2 Indústrias extrativas";"-"
"agosto 2005";"Pernambuco";"2 Indústrias extrativas";"-"
"agosto 2005";"Bahia";"2 Indústrias extrativas";"102,0"
"setembro 2005";"Ceará";"2 Indústrias extrativas";"-"
"setembro 2005";"Pernambuco";"2 Indústrias extrativas";"-"
"setembro 2005";"Bahia";"2 Indústrias extrativas";"95,3"
"outubro 2005";"Ceará";"2 Indústrias extrativas";"-"
"outubro 2005";"Pernambuco";"2 Indústrias extrativas";"-"
"outubro 2005";"Bahia";"2 Indústrias extrativas";"102,3"
"novembro 2005";"Ceará";"2 Indústrias extrativas";"-"
"novembro 2005";"Pernambuco";"2 Indústrias extrativas";"-"
"novembro 2005";"Bahia";"2 Indústrias extrativas";"99,0"
"dezembro 2005";"Ceará";"2 Indústrias extrativas";"-"
"dezembro 2005";"Pernambuco";"2 Indústrias extrativas";"-"
"dezembro 2005";"Bahia";"2 Indústrias extrativas";"103,0"
"janeiro 2006";"Ceará";"2 Indústrias extrativas";"-"
"janeiro 2006";"Pernambuco";"2 Indústrias extrativas";"-"
"janeiro 2006";"Bahia";"2 Indústrias extrativas";"98,9"
"fevereiro 2006";"Ceará";"2 Indústrias extrativas";"-"
"fevereiro 2006";"Pernambuco";"2 Indústrias extrativas";"-"
"fevereiro 2006";"Bahia";"2 Indústrias extrativas";"90,5"
"março 2006";"Ceará";"2 Indústrias extrativas";"-"
"março 2006";"Pernambuco";"2 Indústrias extrativas";"-"
"março 2006";"Bahia";"2 Indústrias extrativas";"100,5"
"abril 2006";"Ceará";"2 Indústrias extrativas";"-"
"abril 2006";"Pernambuco";"2 Indústrias extrativas";"-"
"abril 2006";"Bahia";"2 Indústrias extrativas";"97,0"
"maio 2006";"Ceará";"2 Indústrias extrativas";"-"
