"Tabela 3653 - Produção Física Industrial, por seções e atividades industriais"
"Variável - Índice de base fixa sem ajuste sazonal (Base: média de 2012 = 100) (Número-índice)"
"Mês";"Unidade da Federação";"Seções e atividades industriais (CNAE 2.0)";""
"abril 2003";"Pernambuco";"3.15 Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados";"46,9"
"abril 2003";"Bahia";"3.15 Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados";"-"
"maio 2003";"Ceará";"3.15 Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados";"76,2"
"maio 2003";"Pernambuco";"3.15 Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados";"45,2"
"maio 2003";"Bahia";"3.15 Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados";"-"
"junho 2003";"Ceará";"3.15 Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados";"62,6"
"junho 2003";"Pernambuco";"3.15 Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados";"51,2"
"junho 2003";"Bahia";"3.15 Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados";"-"
"julho 2003";"Ceará";"3.15 Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados";"76,1"
"julho 2003";"Pernambuco";"3.15 Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados";"66,6"
"julho 2003";"Bahia";"3.15 Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados";"-"
"agosto 2003";"Ceará";"3.15 Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados";"95,6"
"agosto 2003";"Pernambuco";"3.15 Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados";"84,5"
"agosto 2003";"Bahia";"3.15 Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados";"-"
"setembro 2003";"Ceará";"3.15 Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados";"119,0"
"setembro 2003";"Pernambuco";"3.15 Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados";"85,5"
"setembro 2003";"Bahia";"3.15 Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados";"-"
"outubro 2003";"Ceará";"3.15 Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados";"133,3"
"outubro 2003";"Pernambuco";"3.15 Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados";"103,2"
"outubro 2003";"Bahia";"3.15 Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados";"-"
"novembro 2003";"Ceará";"3.15 Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados";"138,9"
"novembro 2003";"Pernambuco";"3.15 Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados";"94,2"
"novembro 2003";"Bahia";"3.15 Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados";"-"
