"Tabela 3653 - Produção Física Industrial, por seções e atividades industriais"
"Variável - Índice de base fixa sem ajuste sazonal (Base: média de 2012 = 100) (Número-índice)"
"Mês";"";"Seções e atividades industriais (CNAE 2.0)";""
"janeiro 2009";"Brasil";"3.24 Metalurgia";"74,3"
"fevereiro 2009";"Brasil";"3.24 Metalurgia";"70,6"
"março 2009";"Brasil";"3.24 Metalurgia";"78,8"
"abril 2009";"Brasil";"3.24 Metalurgia";"79,5"
"maio 2009";"Brasil";"3.24 Metalurgia";"84,5"
"junho 2009";"Brasil";"3.24 Metalurgia";"86,3"
"julho 2009";"Brasil";"3.24 Metalurgia";"94,2"
"agosto 2009";"Brasil";"3.24 Metalurgia";"98,1"
"setembro 2009";"Brasil";"3.24 Metalurgia";"99,0"
"outubro 2009";"Brasil";"3.24 Metalurgia";"103,5"
"novembro 2009";"Brasil";"3.24 Metalurgia";"100,8"
"dezembro 2009";"Brasil";"3.24 Metalurgia";"98,3"
"janeiro 2010";"Brasil";"3.24 Metalurgia";"99,4"
"fevereiro 2010";"Brasil";"3.24 Metalurgia";"95,5"
"março 2010";"Brasil";"3.24 Metalurgia";"108,0"
"abril 2010";"Brasil";"3.24 Metalurgia";"103,9"
"maio 2010";"Brasil";"3.24 Metalurgia";"109,5"
"junho 2010";"Brasil";"3.24 Metalurgia";"109,2"
"julho 2010";"Brasil";"3.24 Metalurgia";"113,0"
"agosto 2010";"Brasil";"3.24 Metalurgia";"108,3"
"setembro 2010";"Brasil";"3.24 Metalurgia";"103,2"
"outubro 2010";"Brasil";"3.24 Metalurgia";"107,2"
"novembro 2010";"Brasil";"3.24 Metalurgia";"104,8"
"dezembro 2010";"Brasil";"3.24 Metalurgia";"94,5"
"janeiro 2011";"Brasil";"3.24 Metalurgia";"99,9"
"fevereiro 2011";"Brasil";"3.24 Metalurgia";"98,5"
"março 2011";"Brasil";"3.24 Metalurgia";"111,8"
"abril 2011";"Brasil";"3.24 Metalurgia";"106,5"
"maio 2011";"Brasil";"3.24 Metalurgia";"110,2"
"junho 2011";"Brasil";"3.24 Metalurgia";"105,4"
"julho 2011";"Brasil";"3.24 Metalurgia";"105,7"
"agosto 2011";"Brasil";"3.24 Metalurgia";"108,2"
"setembro 2011";"Brasil";"3.24 Metalurgia";"104,8"
"outubro 2011";"Brasil";"3.24 Metalurgia";"105,6"
"novembro 2011";"Brasil";"3.24 Metalurgia";"100,8"
"dezembro 2011";"Brasil";"3.24 Metalurgia";"94,1"
"janeiro 2012";"Brasil";"3.24 Metalurgia";"95,2"
"fevereiro 2012";"Brasil";"3.24 Metalurgia";"95,2"
"março 2012";"Brasil";"3.24 Metalurgia";"103,8"
"abril 2012";"Brasil";"3.24 Metalurgia";"99,5"
"maio 2012";"Brasil";"3.24 Metalurgia";"103,8"
"junho 2012";"Brasil";"3.24 Metalurgia";"100,3"
"julho 2012";"Brasil";"3.24 Metalurgia";"103,7"
"agosto 2012";"Brasil";"3.24 Metalurgia";"104,1"
"setembro 2012";"Brasil";"3.24 Metalurgia";"99,5"
"outubro 2012";"Brasil";"3.24 Metalurgia";"107,4"
"novembro 2012";"Brasil";"3.24 Metalurgia";"98,5"
"dezembro 2012";"Brasil";"3.24 Metalurgia";"89,1"
"janeiro 2013";"Brasil";"3.24 Metalurgia";"95,7"
"fevereiro 2013";"Brasil";"3.24 Metalurgia";"90,8"
"março 2013";"Brasil";"3.24 Metalurgia";"101,3"
"abril 2013";"Brasil";"3.24 Metalurgia";"103,8"
"maio 2013";"Brasil";"3.24 Metalurgia";"106,6"
"junho 2013";"Brasil";"3.24 Metalurgia";"102,6"
"julho 2013";"Brasil";"3.24 Metalurgia";"102,0"
"agosto 2013";"Brasil";"3.24 Metalurgia";"104,0"
"setembro 2013";"Brasil";"3.24 Metalurgia";"100,6"
"outubro 2013";"Brasil";"3.24 Metalurgia";"106,2"
"novembro 2013";"Brasil";"3.24 Metalurgia";"100,3"
"dezembro 2013";"Brasil";"3.24 Metalurgia";"86,5"
"janeiro 2014";"Brasil";"3.24 Metalurgia";"91,6"
"fevereiro 2014";"Brasil";"3.24 Metalurgia";"92,4"
"março 2014";"Brasil";"3.24 Metalurgia";"103,5"
"abril 2014";"Brasil";"3.24 Metalurgia";"97,2"
"maio 2014";"Brasil";"3.24 Metalurgia";"95,5"
"junho 2014";"Brasil";"3.24 Metalurgia";"89,7"
"julho 2014";"Brasil";"3.24 Metalurgia";"92,7"
"agosto 2014";"Brasil";"3.24 Metalurgia";"92,4"
"setembro 2014";"Brasil";"3.24 Metalurgia";"94,0"
"outubro 2014";"Brasil";"3.24 Metalurgia";"97,3"
"novembro 2014";"Brasil";"3.24 Metalurgia";"89,0"
"dezembro 2014";"Brasil";"3.24 Metalurgia";"76,1"
"janeiro 2015";"Brasil";"3.24 Metalurgia";"88,5"
"fevereiro 2015";"Brasil";"3.24 Metalurgia";"87,2"
"março 2015";"Brasil";"3.24 Metalurgia";"93,9"
"abril 2015";"Brasil";"3.24 Metalurgia";"88,0"
"maio 2015";"Brasil";"3.24 Metalurgia";"88,4"
"junho 2015";"Brasil";"3.24 Metalurgia";"83,6"
"julho 2015";"Brasil";"3.24 Metalurgia";"86,0"
"agosto 2015";"Brasil";"3.24 Metalurgia";"86,1"
"setembro 2015";"Brasil";"3.24 Metalurgia";"81,4"
"outubro 2015";"Brasil";"3.24 Metalurgia";"87,6"
"novembro 2015";"Brasil";"3.24 Metalurgia";"81,5"
"dezembro 2015";"Brasil";"3.24 Metalurgia";"66,0"
"janeiro 2016";"Brasil";"3.24 Metalurgia";"75,2"
"fevereiro 2016";"Brasil";"3.24 Metalurgia";"76,8"
"março 2016";"Brasil";"3.24 Metalurgia";"80,6"
"abril 2016";"Brasil";"3.24 Metalurgia";"75,3"
"maio 2016";"Brasil";"3.24 Metalurgia";"79,5"
"junho 2016";"Brasil";"3.24 Metalurgia";"81,9"
"julho 2016";"Brasil";"3.24 Metalurgia";"85,7"
"agosto 2016";"Brasil";"3.24 Metalurgia";"86,3"
"setembro 2016";"Brasil";"3.24 Metalurgia";"82,6"
"outubro 2016";"Brasil";"3.24 Metalurgia";"85,6"
"novembro 2016";"Brasil";"3.24 Metalurgia";"80,7"
"dezembro 2016";"Brasil";"3.24 Metalurgia";"66,8"
"janeiro 2017";"Brasil";"3.24 Metalurgia";"79,3"
"fevereiro 2017";"Brasil";"3.24 Metalurgia";"75,9"
"março 2017";"Brasil";"3.24 Metalurgia";"85,2"
"abril 2017";"Brasil";"3.24 Metalurgia";"81,7"
"maio 2017";"Brasil";"3.24 Metalurgia";"84,2"
"junho 2017";"Brasil";"3.24 Metalurgia";"81,9"
"julho 2017";"Brasil";"3.24 Metalurgia";"82,4"
"agosto 2017";"Brasil";"3.24 Metalurgia";"87,7"
"setembro 2017";"Brasil";"3.24 Metalurgia";"84,7"
"outubro 2017";"Brasil";"3.24 Metalurgia";"91,4"
"novembro 2017";"Brasil";"3.24 Metalurgia";"89,0"
"dezembro 2017";"Brasil";"3.24 Metalurgia";"78,9"
"Fonte: IBGE - Pesquisa Industrial Mensal - Produção Física"
