"Mês";"";"Seções e atividades industriais (CNAE 2.0)";""
"maio 2009";"Brasil";"3.11 Fabricação de bebidas";"80,4"
"junho 2009";"Brasil";"3.11 Fabricação de bebidas";"74,8"
"julho 2009";"Brasil";"3.11 Fabricação de bebidas";"78,3"
"agosto 2009";"Brasil";"3.11 Fabricação de bebidas";"85,6"
"setembro 2009";"Brasil";"3.11 Fabricação de bebidas";"91,3"
"outubro 2009";"Brasil";"3.11 Fabricação de bebidas";"103,9"
"novembro 2009";"Brasil";"3.11 Fabricação de bebidas";"102,9"
"dezembro 2009";"Brasil";"3.11 Fabricação de bebidas";"116,1"
"janeiro 2010";"Brasil";"3.11 Fabricação de bebidas";"103,0"
"fevereiro 2010";"Brasil";"3.11 Fabricação de bebidas";"89,8"
"março 2010";"Brasil";"3.11 Fabricação de bebidas";"103,2"
"abril 2010";"Brasil";"3.11 Fabricação de bebidas";"89,0"
"maio 2010";"Brasil";"3.11 Fabricação de bebidas";"90,5"
"junho 2010";"Brasil";"3.11 Fabricação de bebidas";"90,2"
"julho 2010";"Brasil";"3.11 Fabricação de bebidas";"89,0"
"agosto 2010";"Brasil";"3.11 Fabricação de bebidas";"90,1"
"setembro 2010";"Brasil";"3.11 Fabricação de bebidas";"100,5"
"outubro 2010";"Brasil";"3.11 Fabricação de bebidas";"108,2"
"novembro 2010";"Brasil";"3.11 Fabricação de bebidas";"109,3"
"dezembro 2010";"Brasil";"3.11 Fabricação de bebidas";"122,9"
"janeiro 2011";"Brasil";"3.11 Fabricação de bebidas";"99,2"
"fevereiro 2011";"Brasil";"3.11 Fabricação de bebidas";"94,3"
"março 2011";"Brasil";"3.11 Fabricação de bebidas";"93,2"
"abril 2011";"Brasil";"3.11 Fabricação de bebidas";"86,5"
"maio 2011";"Brasil";"3.11 Fabricação de bebidas";"86,4"
"junho 2011";"Brasil";"3.11 Fabricação de bebidas";"80,6"
"julho 2011";"Brasil";"3.11 Fabricação de bebidas";"88,6"
"agosto 2011";"Brasil";"3.11 Fabricação de bebidas";"96,6"
"setembro 2011";"Brasil";"3.11 Fabricação de bebidas";"105,6"
"outubro 2011";"Brasil";"3.11 Fabricação de bebidas";"113,9"
"novembro 2011";"Brasil";"3.11 Fabricação de bebidas";"112,8"
"dezembro 2011";"Brasil";"3.11 Fabricação de bebidas";"126,7"
"janeiro 2012";"Brasil";"3.11 Fabricação de bebidas";"96,3"
"fevereiro 2012";"Brasil";"3.11 Fabricação de bebidas";"92,6"
"março 2012";"Brasil";"3.11 Fabricação de bebidas";"101,3"
"abril 2012";"Brasil";"3.11 Fabricação de bebidas";"88,8"
"maio 2012";"Brasil";"3.11 Fabricação de bebidas";"89,7"
"junho 2012";"Brasil";"3.11 Fabricação de bebidas";"85,9"
"julho 2012";"Brasil";"3.11 Fabricação de bebidas";"85,1"
"agosto 2012";"Brasil";"3.11 Fabricação de bebidas";"101,6"
"setembro 2012";"Brasil";"3.11 Fabricação de bebidas";"103,7"
"outubro 2012";"Brasil";"3.11 Fabricação de bebidas";"110,8"
"novembro 2012";"Brasil";"3.11 Fabricação de bebidas";"118,2"
"dezembro 2012";"Brasil";"3.11 Fabricação de bebidas";"126,0"
"janeiro 2013";"Brasil";"3.11 Fabricação de bebidas";"108,7"
"fevereiro 2013";"Brasil";"3.11 Fabricação de bebidas";"91,1"
"março 2013";"Brasil";"3.11 Fabricação de bebidas";"95,5"
"abril 2013";"Brasil";"3.11 Fabricação de bebidas";"88,2"
"maio 2013";"Brasil";"3.11 Fabricação de bebidas";"90,2"
"junho 2013";"Brasil";"3.11 Fabricação de bebidas";"81,9"
"julho 2013";"Brasil";"3.11 Fabricação de bebidas";"91,6"
"agosto 2013";"Brasil";"3.11 Fabricação de bebidas";"97,0"
"setembro 2013";"Brasil";"3.11 Fabricação de bebidas";"100,2"
"outubro 2013";"Brasil";"3.11 Fabricação de bebidas";"103,1"
"novembro 2013";"Brasil";"3.11 Fabricação de bebidas";"107,8"
"dezembro 2013";"Brasil";"3.11 Fabricação de bebidas";"119,5"
"janeiro 2014";"Brasil";"3.11 Fabricação de bebidas";"102,6"
"fevereiro 2014";"Brasil";"3.11 Fabricação de bebidas";"97,6"
"março 2014";"Brasil";"3.11 Fabricação de bebidas";"102,7"
"abril 2014";"Brasil";"3.11 Fabricação de bebidas";"91,1"
"maio 2014";"Brasil";"3.11 Fabricação de bebidas";"93,1"
"junho 2014";"Brasil";"3.11 Fabricação de bebidas";"89,3"
"julho 2014";"Brasil";"3.11 Fabricação de bebidas";"92,6"
"agosto 2014";"Brasil";"3.11 Fabricação de bebidas";"91,0"
"setembro 2014";"Brasil";"3.11 Fabricação de bebidas";"96,7"
"outubro 2014";"Brasil";"3.11 Fabricação de bebidas";"102,5"
"novembro 2014";"Brasil";"3.11 Fabricação de bebidas";"106,8"
"dezembro 2014";"Brasil";"3.11 Fabricação de bebidas";"124,0"
"janeiro 2015";"Brasil";"3.11 Fabricação de bebidas";"104,7"
"fevereiro 2015";"Brasil";"3.11 Fabricação de bebidas";"92,0"
"março 2015";"Brasil";"3.11 Fabricação de bebidas";"91,5"
"abril 2015";"Brasil";"3.11 Fabricação de bebidas";"79,6"
"maio 2015";"Brasil";"3.11 Fabricação de bebidas";"83,2"
"junho 2015";"Brasil";"3.11 Fabricação de bebidas";"84,8"
"julho 2015";"Brasil";"3.11 Fabricação de bebidas";"83,5"
"agosto 2015";"Brasil";"3.11 Fabricação de bebidas";"92,2"
"setembro 2015";"Brasil";"3.11 Fabricação de bebidas";"98,7"
"outubro 2015";"Brasil";"3.11 Fabricação de bebidas";"104,3"
"novembro 2015";"Brasil";"3.11 Fabricação de bebidas";"106,7"
"dezembro 2015";"Brasil";"3.11 Fabricação de bebidas";"112,2"
"janeiro 2016";"Brasil";"3.11 Fabricação de bebidas";"94,2"
"fevereiro 2016";"Brasil";"3.11 Fabricação de bebidas";"87,4"
"março 2016";"Brasil";"3.11 Fabricação de bebidas";"87,8"
"abril 2016";"Brasil";"3.11 Fabricação de bebidas";"86,4"
"maio 2016";"Brasil";"3.11 Fabricação de bebidas";"85,8"
"junho 2016";"Brasil";"3.11 Fabricação de bebidas";"81,8"
"julho 2016";"Brasil";"3.11 Fabricação de bebidas";"83,9"
"agosto 2016";"Brasil";"3.11 Fabricação de bebidas";"91,0"
"setembro 2016";"Brasil";"3.11 Fabricação de bebidas";"96,5"
"outubro 2016";"Brasil";"3.11 Fabricação de bebidas";"96,8"
"novembro 2016";"Brasil";"3.11 Fabricação de bebidas";"100,9"
"dezembro 2016";"Brasil";"3.11 Fabricação de bebidas";"105,9"
"janeiro 2017";"Brasil";"3.11 Fabricação de bebidas";"93,5"
"fevereiro 2017";"Brasil";"3.11 Fabricação de bebidas";"87,0"
"março 2017";"Brasil";"3.11 Fabricação de bebidas";"92,7"
"abril 2017";"Brasil";"3.11 Fabricação de bebidas";"76,9"
"maio 2017";"Brasil";"3.11 Fabricação de bebidas";"84,7"
"junho 2017";"Brasil";"3.11 Fabricação de bebidas";"82,2"
"julho 2017";"Brasil";"3.11 Fabricação de bebidas";"84,5"
"agosto 2017";"Brasil";"3.11 Fabricação de bebidas";"91,9"
"setembro 2017";"Brasil";"3.11 Fabricação de bebidas";"96,9"
"outubro 2017";"Brasil";"3.11 Fabricação de bebidas";"104,9"
"novembro 2017";"Brasil";"3.11 Fabricação de bebidas";"104,7"
"dezembro 2017";"Brasil";"3.11 Fabricação de bebidas";"107,3"
