"Tabela 3653 - Produção Física Industrial, por seções e atividades industriais"
"Variável - Índice de base fixa sem ajuste sazonal (Base: média de 2012 = 100) (Número-índice)"
"Mês";"Unidade da Federação";"Seções e atividades industriais (CNAE 2.0)";""
"maio 2004";"Ceará";"3.32 Fabricação de produtos diversos";"-"
"maio 2004";"Pernambuco";"3.32 Fabricação de produtos diversos";"-"
"maio 2004";"Bahia";"3.32 Fabricação de produtos diversos";"-"
"junho 2004";"Ceará";"3.32 Fabricação de produtos diversos";"-"
"junho 2004";"Pernambuco";"3.32 Fabricação de produtos diversos";"-"
"junho 2004";"Bahia";"3.32 Fabricação de produtos diversos";"-"
"julho 2004";"Ceará";"3.32 Fabricação de produtos diversos";"-"
"julho 2004";"Pernambuco";"3.32 Fabricação de produtos diversos";"-"
"julho 2004";"Bahia";"3.32 Fabricação de produtos diversos";"-"
"agosto 2004";"Ceará";"3.32 Fabricação de produtos diversos";"-"
"agosto 2004";"Pernambuco";"3.32 Fabricação de produtos diversos";"-"
"agosto 2004";"Bahia";"3.32 Fabricação de produtos diversos";"-"
"setembro 2004";"Ceará";"3.32 Fabricação de produtos diversos";"-"
"setembro 2004";"Pernambuco";"3.32 Fabricação de produtos diversos";"-"
"setembro 2004";"Bahia";"3.32 Fabricação de produtos diversos";"-"
"outubro 2004";"Ceará";"3.32 Fabricação de produtos diversos";"-"
"outubro 2004";"Pernambuco";"3.32 Fabricação de produtos diversos";"-"
"outubro 2004";"Bahia";"3.32 Fabricação de produtos diversos";"-"
"novembro 2004";"Ceará";"3.32 Fabricação de produtos diversos";"-"
"novembro 2004";"Pernambuco";"3.32 Fabricação de produtos diversos";"-"
"novembro 2004";"Bahia";"3.32 Fabricação de produtos diversos";"-"
"dezembro 2004";"Ceará";"3.32 Fabricação de produtos diversos";"-"
"dezembro 2004";"Pernambuco";"3.32 Fabricação de produtos diversos";"-"
"dezembro 2004";"Bahia";"3.32 Fabricação de produtos diversos";"-"
"janeiro 2005";"Ceará";"3.32 Fabricação de produtos diversos";"-"
"janeiro 2005";"Pernambuco";"3.32 Fabricação de produtos diversos";"-"
"janeiro 2005";"Bahia";"3.32 Fabricação de produtos diversos";"-"
"fevereiro 2005";"Ceará";"3.32 Fabricação de produtos diversos";"-"
