"Tabela 3653 - Produção Física Industrial, por seções e atividades industriais"
"Variável - Índice de base fixa sem ajuste sazonal (Base: média de 2012 = 100) (Número-índice)"
"Mês";"Unidade da Federação";"Seções e atividades industriais (CNAE 2.0)";""
"junho 2003";"Ceará";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"92,2"
"junho 2003";"Pernambuco";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"46,9"
"junho 2003";"Bahia";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"-"
"julho 2003";"Ceará";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"102,0"
"julho 2003";"Pernambuco";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"90,5"
"julho 2003";"Bahia";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"-"
"agosto 2003";"Ceará";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"116,6"
"agosto 2003";"Pernambuco";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"88,8"
"agosto 2003";"Bahia";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"-"
"setembro 2003";"Ceará";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"149,2"
"setembro 2003";"Pernambuco";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"83,3"
"setembro 2003";"Bahia";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"-"
"outubro 2003";"Ceará";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"175,0"
"outubro 2003";"Pernambuco";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"101,4"
"outubro 2003";"Bahia";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"-"
"novembro 2003";"Ceará";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"165,7"
"novembro 2003";"Pernambuco";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"80,3"
"novembro 2003";"Bahia";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"-"
"dezembro 2003";"Ceará";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"128,9"
"dezembro 2003";"Pernambuco";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"89,8"
"dezembro 2003";"Bahia";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"-"
"janeiro 2004";"Ceará";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"114,1"
"janeiro 2004";"Pernambuco";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"94,1"
"janeiro 2004";"Bahia";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"-"
"fevereiro 2004";"Ceará";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"84,9"
"fevereiro 2004";"Pernambuco";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"84,3"
"fevereiro 2004";"Bahia";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"-"
"março 2004";"Ceará";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"97,9"
"março 2004";"Pernambuco";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"89,6"
"março 2004";"Bahia";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"-"
"abril 2004";"Ceará";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"80,5"
"abril 2004";"Pernambuco";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"66,9"
"abril 2004";"Bahia";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"-"
"maio 2004";"Ceará";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"93,2"
"maio 2004";"Pernambuco";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"90,8"
"maio 2004";"Bahia";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"-"
"junho 2004";"Ceará";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"91,9"
"junho 2004";"Pernambuco";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"58,2"
