"Tabela 3653 - Produção Física Industrial, por seções e atividades industriais"
"Variável - Índice de base fixa sem ajuste sazonal (Base: média de 2012 = 100) (Número-índice)"
"Mês";"Unidade da Federação";"Seções e atividades industriais (CNAE 2.0)";""
"agosto 2003";"Ceará";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"agosto 2003";"Pernambuco";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"agosto 2003";"Bahia";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"85,6"
"setembro 2003";"Ceará";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"setembro 2003";"Pernambuco";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"setembro 2003";"Bahia";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"90,9"
"outubro 2003";"Ceará";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"outubro 2003";"Pernambuco";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"outubro 2003";"Bahia";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"93,1"
"novembro 2003";"Ceará";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"novembro 2003";"Pernambuco";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"novembro 2003";"Bahia";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"71,3"
"dezembro 2003";"Ceará";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"dezembro 2003";"Pernambuco";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"dezembro 2003";"Bahia";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"45,2"
"janeiro 2004";"Ceará";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"janeiro 2004";"Pernambuco";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"janeiro 2004";"Bahia";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"93,1"
"fevereiro 2004";"Ceará";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"fevereiro 2004";"Pernambuco";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"fevereiro 2004";"Bahia";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"68,3"
"março 2004";"Ceará";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"março 2004";"Pernambuco";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"março 2004";"Bahia";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"99,0"
"abril 2004";"Ceará";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"abril 2004";"Pernambuco";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"abril 2004";"Bahia";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"82,4"
"maio 2004";"Ceará";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"maio 2004";"Pernambuco";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"maio 2004";"Bahia";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"95,4"
"junho 2004";"Ceará";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"junho 2004";"Pernambuco";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"junho 2004";"Bahia";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"86,2"
"julho 2004";"Ceará";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"julho 2004";"Pernambuco";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"julho 2004";"Bahia";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"93,8"
"agosto 2004";"Ceará";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"agosto 2004";"Pernambuco";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"agosto 2004";"Bahia";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"86,8"
"setembro 2004";"Ceará";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"setembro 2004";"Pernambuco";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"setembro 2004";"Bahia";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"120,7"
"outubro 2004";"Ceará";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"outubro 2004";"Pernambuco";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"outubro 2004";"Bahia";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"127,5"
"novembro 2004";"Ceará";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"novembro 2004";"Pernambuco";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"novembro 2004";"Bahia";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"124,1"
"dezembro 2004";"Ceará";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"dezembro 2004";"Pernambuco";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"dezembro 2004";"Bahia";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"113,8"
"janeiro 2005";"Ceará";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"janeiro 2005";"Pernambuco";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"janeiro 2005";"Bahia";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"144,5"
"fevereiro 2005";"Ceará";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"fevereiro 2005";"Pernambuco";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"fevereiro 2005";"Bahia";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"119,2"
"março 2005";"Ceará";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"março 2005";"Pernambuco";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"março 2005";"Bahia";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"128,7"
"abril 2005";"Ceará";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"abril 2005";"Pernambuco";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"abril 2005";"Bahia";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"130,8"
"maio 2005";"Ceará";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"maio 2005";"Pernambuco";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"maio 2005";"Bahia";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"128,7"
"junho 2005";"Ceará";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"junho 2005";"Pernambuco";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
