"Mês";"";"Seções e atividades industriais (CNAE 2.0)";""
"janeiro 2010";"Brasil";"2 Indústrias extrativas";"94,2"
"fevereiro 2010";"Brasil";"2 Indústrias extrativas";"86,8"
"março 2010";"Brasil";"2 Indústrias extrativas";"97,0"
"abril 2010";"Brasil";"2 Indústrias extrativas";"95,0"
"maio 2010";"Brasil";"2 Indústrias extrativas";"98,8"
"junho 2010";"Brasil";"2 Indústrias extrativas";"97,4"
"julho 2010";"Brasil";"2 Indústrias extrativas";"103,2"
"agosto 2010";"Brasil";"2 Indústrias extrativas";"103,4"
"setembro 2010";"Brasil";"2 Indústrias extrativas";"102,8"
"outubro 2010";"Brasil";"2 Indústrias extrativas";"100,8"
"novembro 2010";"Brasil";"2 Indústrias extrativas";"99,1"
"dezembro 2010";"Brasil";"2 Indústrias extrativas";"102,0"
"janeiro 2011";"Brasil";"2 Indústrias extrativas";"99,4"
"fevereiro 2011";"Brasil";"2 Indústrias extrativas";"90,7"
"março 2011";"Brasil";"2 Indústrias extrativas";"97,0"
"abril 2011";"Brasil";"2 Indústrias extrativas";"96,5"
"maio 2011";"Brasil";"2 Indústrias extrativas";"101,7"
"junho 2011";"Brasil";"2 Indústrias extrativas";"101,2"
"julho 2011";"Brasil";"2 Indústrias extrativas";"104,2"
"agosto 2011";"Brasil";"2 Indústrias extrativas";"104,3"
"setembro 2011";"Brasil";"2 Indústrias extrativas";"101,4"
"outubro 2011";"Brasil";"2 Indústrias extrativas";"102,7"
"novembro 2011";"Brasil";"2 Indústrias extrativas";"102,6"
"dezembro 2011";"Brasil";"2 Indústrias extrativas";"104,2"
"janeiro 2012";"Brasil";"2 Indústrias extrativas";"92,4"
"fevereiro 2012";"Brasil";"2 Indústrias extrativas";"93,6"
"março 2012";"Brasil";"2 Indústrias extrativas";"98,6"
"abril 2012";"Brasil";"2 Indústrias extrativas";"96,2"
"maio 2012";"Brasil";"2 Indústrias extrativas";"104,3"
"junho 2012";"Brasil";"2 Indústrias extrativas";"100,5"
"julho 2012";"Brasil";"2 Indústrias extrativas";"103,9"
"agosto 2012";"Brasil";"2 Indústrias extrativas";"104,0"
"setembro 2012";"Brasil";"2 Indústrias extrativas";"97,5"
"outubro 2012";"Brasil";"2 Indústrias extrativas";"108,1"
"novembro 2012";"Brasil";"2 Indústrias extrativas";"97,3"
"dezembro 2012";"Brasil";"2 Indústrias extrativas";"103,5"
"janeiro 2013";"Brasil";"2 Indústrias extrativas";"94,3"
"fevereiro 2013";"Brasil";"2 Indústrias extrativas";"85,4"
"março 2013";"Brasil";"2 Indústrias extrativas";"89,6"
"abril 2013";"Brasil";"2 Indústrias extrativas";"90,6"
"maio 2013";"Brasil";"2 Indústrias extrativas";"95,5"
"junho 2013";"Brasil";"2 Indústrias extrativas";"97,1"
"julho 2013";"Brasil";"2 Indústrias extrativas";"100,6"
"agosto 2013";"Brasil";"2 Indústrias extrativas";"101,9"
"setembro 2013";"Brasil";"2 Indústrias extrativas";"97,2"
"outubro 2013";"Brasil";"2 Indústrias extrativas";"104,0"
"novembro 2013";"Brasil";"2 Indústrias extrativas";"100,2"
"dezembro 2013";"Brasil";"2 Indústrias extrativas";"99,9"
"janeiro 2014";"Brasil";"2 Indústrias extrativas";"96,2"
"fevereiro 2014";"Brasil";"2 Indústrias extrativas";"86,8"
"março 2014";"Brasil";"2 Indústrias extrativas";"97,5"
"abril 2014";"Brasil";"2 Indústrias extrativas";"95,9"
"maio 2014";"Brasil";"2 Indústrias extrativas";"102,8"
"junho 2014";"Brasil";"2 Indústrias extrativas";"101,1"
"julho 2014";"Brasil";"2 Indústrias extrativas";"107,4"
"agosto 2014";"Brasil";"2 Indústrias extrativas";"110,9"
"setembro 2014";"Brasil";"2 Indústrias extrativas";"107,7"
"outubro 2014";"Brasil";"2 Indústrias extrativas";"112,2"
"novembro 2014";"Brasil";"2 Indústrias extrativas";"105,7"
"dezembro 2014";"Brasil";"2 Indústrias extrativas";"110,6"
"janeiro 2015";"Brasil";"2 Indústrias extrativas";"107,4"
"fevereiro 2015";"Brasil";"2 Indústrias extrativas";"98,1"
"março 2015";"Brasil";"2 Indústrias extrativas";"107,7"
"abril 2015";"Brasil";"2 Indústrias extrativas";"107,1"
"maio 2015";"Brasil";"2 Indústrias extrativas";"110,5"
"junho 2015";"Brasil";"2 Indústrias extrativas";"109,8"
"julho 2015";"Brasil";"2 Indústrias extrativas";"111,3"
"agosto 2015";"Brasil";"2 Indústrias extrativas";"115,0"
"setembro 2015";"Brasil";"2 Indústrias extrativas";"110,7"
"outubro 2015";"Brasil";"2 Indústrias extrativas";"111,5"
"novembro 2015";"Brasil";"2 Indústrias extrativas";"95,2"
"dezembro 2015";"Brasil";"2 Indústrias extrativas";"98,3"
"janeiro 2016";"Brasil";"2 Indústrias extrativas";"89,5"
"fevereiro 2016";"Brasil";"2 Indústrias extrativas";"87,0"
"março 2016";"Brasil";"2 Indústrias extrativas";"90,5"
"abril 2016";"Brasil";"2 Indústrias extrativas";"90,5"
"maio 2016";"Brasil";"2 Indústrias extrativas";"98,1"
"junho 2016";"Brasil";"2 Indústrias extrativas";"96,2"
"julho 2016";"Brasil";"2 Indústrias extrativas";"101,0"
"agosto 2016";"Brasil";"2 Indústrias extrativas";"101,8"
"setembro 2016";"Brasil";"2 Indústrias extrativas";"100,4"
"outubro 2016";"Brasil";"2 Indústrias extrativas";"101,8"
"novembro 2016";"Brasil";"2 Indústrias extrativas";"99,4"
"dezembro 2016";"Brasil";"2 Indústrias extrativas";"105,3"
"janeiro 2017";"Brasil";"2 Indústrias extrativas";"101,7"
"fevereiro 2017";"Brasil";"2 Indústrias extrativas";"92,7"
"março 2017";"Brasil";"2 Indústrias extrativas";"98,5"
"abril 2017";"Brasil";"2 Indústrias extrativas";"96,2"
"maio 2017";"Brasil";"2 Indústrias extrativas";"103,5"
"junho 2017";"Brasil";"2 Indústrias extrativas";"102,6"
"julho 2017";"Brasil";"2 Indústrias extrativas";"104,7"
"agosto 2017";"Brasil";"2 Indústrias extrativas";"104,4"
"setembro 2017";"Brasil";"2 Indústrias extrativas";"102,8"
"outubro 2017";"Brasil";"2 Indústrias extrativas";"104,7"
"novembro 2017";"Brasil";"2 Indústrias extrativas";"100,9"
"dezembro 2017";"Brasil";"2 Indústrias extrativas";"102,1"
