"Tabela 3653 - Produção Física Industrial, por seções e atividades industriais"
"Variável - Índice de base fixa sem ajuste sazonal (Base: média de 2012 = 100) (Número-índice)"
"Mês";"Unidade da Federação";"Seções e atividades industriais (CNAE 2.0)";""
"novembro 2003";"Ceará";"3.10 Fabricação de produtos alimentícios";"84,4"
"novembro 2003";"Pernambuco";"3.10 Fabricação de produtos alimentícios";"131,1"
"novembro 2003";"Bahia";"3.10 Fabricação de produtos alimentícios";"79,5"
"dezembro 2003";"Ceará";"3.10 Fabricação de produtos alimentícios";"92,4"
"dezembro 2003";"Pernambuco";"3.10 Fabricação de produtos alimentícios";"132,2"
"dezembro 2003";"Bahia";"3.10 Fabricação de produtos alimentícios";"68,0"
"janeiro 2004";"Ceará";"3.10 Fabricação de produtos alimentícios";"94,8"
"janeiro 2004";"Pernambuco";"3.10 Fabricação de produtos alimentícios";"107,4"
"janeiro 2004";"Bahia";"3.10 Fabricação de produtos alimentícios";"56,8"
"fevereiro 2004";"Ceará";"3.10 Fabricação de produtos alimentícios";"84,5"
"fevereiro 2004";"Pernambuco";"3.10 Fabricação de produtos alimentícios";"73,5"
"fevereiro 2004";"Bahia";"3.10 Fabricação de produtos alimentícios";"45,6"
"março 2004";"Ceará";"3.10 Fabricação de produtos alimentícios";"101,1"
"março 2004";"Pernambuco";"3.10 Fabricação de produtos alimentícios";"74,6"
"março 2004";"Bahia";"3.10 Fabricação de produtos alimentícios";"79,7"
"abril 2004";"Ceará";"3.10 Fabricação de produtos alimentícios";"90,3"
"abril 2004";"Pernambuco";"3.10 Fabricação de produtos alimentícios";"52,6"
"abril 2004";"Bahia";"3.10 Fabricação de produtos alimentícios";"90,4"
"maio 2004";"Ceará";"3.10 Fabricação de produtos alimentícios";"99,3"
"maio 2004";"Pernambuco";"3.10 Fabricação de produtos alimentícios";"54,1"
"maio 2004";"Bahia";"3.10 Fabricação de produtos alimentícios";"93,8"
"junho 2004";"Ceará";"3.10 Fabricação de produtos alimentícios";"94,9"
"junho 2004";"Pernambuco";"3.10 Fabricação de produtos alimentícios";"56,5"
