"Tabela 3653 - Produção Física Industrial, por seções e atividades industriais"
"Variável - Índice de base fixa sem ajuste sazonal (Base: média de 2012 = 100) (Número-índice)"
"Mês";"Unidade da Federação";"Seções e atividades industriais (CNAE 2.0)";""
"maio 2003";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"131,8"
"maio 2003";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"maio 2003";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"81,6"
"junho 2003";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"114,8"
"junho 2003";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"junho 2003";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"80,4"
"julho 2003";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"90,9"
"julho 2003";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"julho 2003";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"76,4"
"agosto 2003";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"92,5"
"agosto 2003";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"agosto 2003";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"67,3"
"setembro 2003";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"75,9"
"setembro 2003";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"setembro 2003";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"82,4"
"outubro 2003";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"118,5"
"outubro 2003";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"outubro 2003";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"73,4"
"novembro 2003";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"104,1"
"novembro 2003";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"novembro 2003";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"32,6"
"dezembro 2003";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"99,4"
"dezembro 2003";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"dezembro 2003";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"48,9"
"janeiro 2004";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"78,2"
"janeiro 2004";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"janeiro 2004";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"96,3"
"fevereiro 2004";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"121,6"
"fevereiro 2004";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"fevereiro 2004";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"96,8"
"março 2004";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"146,6"
"março 2004";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"março 2004";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"89,9"
"abril 2004";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"127,4"
"abril 2004";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"abril 2004";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"86,8"
"maio 2004";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"114,2"
"maio 2004";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"maio 2004";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"94,5"
"junho 2004";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"104,8"
"junho 2004";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"junho 2004";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"100,9"
"julho 2004";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"126,9"
"julho 2004";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"julho 2004";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"82,5"
"agosto 2004";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"116,4"
"agosto 2004";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"agosto 2004";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"77,0"
"setembro 2004";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"106,3"
"setembro 2004";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"setembro 2004";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"86,2"
"outubro 2004";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"123,5"
"outubro 2004";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"outubro 2004";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"98,6"
"novembro 2004";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"123,0"
"novembro 2004";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"novembro 2004";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"99,6"
"dezembro 2004";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"135,4"
"dezembro 2004";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"dezembro 2004";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"98,8"
"janeiro 2005";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"127,9"
"janeiro 2005";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"janeiro 2005";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"91,1"
"fevereiro 2005";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"92,0"
"fevereiro 2005";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"fevereiro 2005";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"87,7"
"março 2005";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"79,9"
"março 2005";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"março 2005";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"98,4"
"abril 2005";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"129,9"
"abril 2005";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"abril 2005";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"94,8"
"maio 2005";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"131,9"
"maio 2005";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"maio 2005";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"85,9"
"junho 2005";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"107,3"
"junho 2005";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"junho 2005";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"95,4"
"julho 2005";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"110,6"
"julho 2005";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"julho 2005";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"101,0"
"agosto 2005";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"129,1"
"agosto 2005";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"agosto 2005";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"105,9"
"setembro 2005";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"147,9"
"setembro 2005";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"setembro 2005";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"102,7"
"outubro 2005";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"165,9"
"outubro 2005";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"outubro 2005";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"98,9"
"novembro 2005";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"219,7"
"novembro 2005";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"novembro 2005";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"89,3"
"dezembro 2005";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"70,8"
"dezembro 2005";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"dezembro 2005";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"99,3"
"janeiro 2006";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"176,8"
"janeiro 2006";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"janeiro 2006";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"106,7"
"fevereiro 2006";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"112,3"
"fevereiro 2006";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"fevereiro 2006";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"95,0"
"março 2006";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"153,0"
"março 2006";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"março 2006";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"106,3"
"abril 2006";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"170,0"
"abril 2006";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"abril 2006";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"98,0"
"maio 2006";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"142,5"
"maio 2006";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"maio 2006";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"104,2"
"junho 2006";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"152,9"
"junho 2006";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"junho 2006";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"92,7"
"julho 2006";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"149,4"
"julho 2006";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"julho 2006";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"96,4"
"agosto 2006";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"91,7"
"agosto 2006";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"agosto 2006";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"99,9"
"setembro 2006";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"115,2"
"setembro 2006";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"setembro 2006";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"108,7"
"outubro 2006";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"109,7"
"outubro 2006";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"outubro 2006";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"105,3"
"novembro 2006";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"143,4"
"novembro 2006";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
