"Tabela 3653 - Produção Física Industrial, por seções e atividades industriais"
"Variável - Índice de base fixa sem ajuste sazonal (Base: média de 2012 = 100) (Número-índice)"
"Mês";"Unidade da Federação";"Seções e atividades industriais (CNAE 2.0)";""
"novembro 2003";"Bahia";"3.20C Fabricação de outros produtos químicos";"93,1"
"dezembro 2003";"Ceará";"3.20C Fabricação de outros produtos químicos";"-"
"dezembro 2003";"Pernambuco";"3.20C Fabricação de outros produtos químicos";"-"
"dezembro 2003";"Bahia";"3.20C Fabricação de outros produtos químicos";"113,8"
"janeiro 2004";"Ceará";"3.20C Fabricação de outros produtos químicos";"-"
"janeiro 2004";"Pernambuco";"3.20C Fabricação de outros produtos químicos";"-"
"janeiro 2004";"Bahia";"3.20C Fabricação de outros produtos químicos";"86,2"
"fevereiro 2004";"Ceará";"3.20C Fabricação de outros produtos químicos";"-"
"fevereiro 2004";"Pernambuco";"3.20C Fabricação de outros produtos químicos";"-"
"fevereiro 2004";"Bahia";"3.20C Fabricação de outros produtos químicos";"85,4"
"março 2004";"Ceará";"3.20C Fabricação de outros produtos químicos";"-"
"março 2004";"Pernambuco";"3.20C Fabricação de outros produtos químicos";"-"
"março 2004";"Bahia";"3.20C Fabricação de outros produtos químicos";"112,9"
"abril 2004";"Ceará";"3.20C Fabricação de outros produtos químicos";"-"
"abril 2004";"Pernambuco";"3.20C Fabricação de outros produtos químicos";"-"
"abril 2004";"Bahia";"3.20C Fabricação de outros produtos químicos";"103,9"
"maio 2004";"Ceará";"3.20C Fabricação de outros produtos químicos";"-"
"maio 2004";"Pernambuco";"3.20C Fabricação de outros produtos químicos";"-"
"maio 2004";"Bahia";"3.20C Fabricação de outros produtos químicos";"105,0"
"junho 2004";"Ceará";"3.20C Fabricação de outros produtos químicos";"-"
"junho 2004";"Pernambuco";"3.20C Fabricação de outros produtos químicos";"-"
"junho 2004";"Bahia";"3.20C Fabricação de outros produtos químicos";"112,8"
"julho 2004";"Ceará";"3.20C Fabricação de outros produtos químicos";"-"
"julho 2004";"Pernambuco";"3.20C Fabricação de outros produtos químicos";"-"
"julho 2004";"Bahia";"3.20C Fabricação de outros produtos químicos";"113,0"
"agosto 2004";"Ceará";"3.20C Fabricação de outros produtos químicos";"-"
"agosto 2004";"Pernambuco";"3.20C Fabricação de outros produtos químicos";"-"
"agosto 2004";"Bahia";"3.20C Fabricação de outros produtos químicos";"109,2"
"setembro 2004";"Ceará";"3.20C Fabricação de outros produtos químicos";"-"
"setembro 2004";"Pernambuco";"3.20C Fabricação de outros produtos químicos";"-"
"setembro 2004";"Bahia";"3.20C Fabricação de outros produtos químicos";"109,4"
