"Tabela 3653 - Produção Física Industrial, por seções e atividades industriais"
"Variável - Índice de base fixa sem ajuste sazonal (Base: média de 2012 = 100) (Número-índice)"
"Mês";"Unidade da Federação";"Seções e atividades industriais (CNAE 2.0)";""
"agosto 2003";"Bahia";"3.23 Fabricação de produtos de minerais não-metálicos";"46,8"
"setembro 2003";"Ceará";"3.23 Fabricação de produtos de minerais não-metálicos";"67,3"
"setembro 2003";"Pernambuco";"3.23 Fabricação de produtos de minerais não-metálicos";"59,5"
"setembro 2003";"Bahia";"3.23 Fabricação de produtos de minerais não-metálicos";"45,9"
"outubro 2003";"Ceará";"3.23 Fabricação de produtos de minerais não-metálicos";"71,8"
"outubro 2003";"Pernambuco";"3.23 Fabricação de produtos de minerais não-metálicos";"62,0"
"outubro 2003";"Bahia";"3.23 Fabricação de produtos de minerais não-metálicos";"46,6"
"novembro 2003";"Ceará";"3.23 Fabricação de produtos de minerais não-metálicos";"67,0"
"novembro 2003";"Pernambuco";"3.23 Fabricação de produtos de minerais não-metálicos";"63,7"
"novembro 2003";"Bahia";"3.23 Fabricação de produtos de minerais não-metálicos";"44,9"
"dezembro 2003";"Ceará";"3.23 Fabricação de produtos de minerais não-metálicos";"69,8"
"dezembro 2003";"Pernambuco";"3.23 Fabricação de produtos de minerais não-metálicos";"54,4"
"dezembro 2003";"Bahia";"3.23 Fabricação de produtos de minerais não-metálicos";"50,8"
"janeiro 2004";"Ceará";"3.23 Fabricação de produtos de minerais não-metálicos";"60,9"
"janeiro 2004";"Pernambuco";"3.23 Fabricação de produtos de minerais não-metálicos";"55,6"
"janeiro 2004";"Bahia";"3.23 Fabricação de produtos de minerais não-metálicos";"46,2"
"fevereiro 2004";"Ceará";"3.23 Fabricação de produtos de minerais não-metálicos";"48,8"
"fevereiro 2004";"Pernambuco";"3.23 Fabricação de produtos de minerais não-metálicos";"61,5"
"fevereiro 2004";"Bahia";"3.23 Fabricação de produtos de minerais não-metálicos";"45,7"
"março 2004";"Ceará";"3.23 Fabricação de produtos de minerais não-metálicos";"60,7"
"março 2004";"Pernambuco";"3.23 Fabricação de produtos de minerais não-metálicos";"67,1"
"março 2004";"Bahia";"3.23 Fabricação de produtos de minerais não-metálicos";"53,5"
"abril 2004";"Ceará";"3.23 Fabricação de produtos de minerais não-metálicos";"59,7"
"abril 2004";"Pernambuco";"3.23 Fabricação de produtos de minerais não-metálicos";"56,3"
