"Tabela 3653 - Produção Física Industrial, por seções e atividades industriais"
"Variável - Índice de base fixa sem ajuste sazonal (Base: média de 2012 = 100) (Número-índice)"
"Mês";"Unidade da Federação";"Seções e atividades industriais (CNAE 2.0)";""
"junho 2004";"Pernambuco";"1 Indústria geral";"66,6"
"junho 2004";"Bahia";"1 Indústria geral";"94,1"
"julho 2004";"Ceará";"1 Indústria geral";"107,4"
"julho 2004";"Pernambuco";"1 Indústria geral";"70,5"
"julho 2004";"Bahia";"1 Indústria geral";"88,1"
"agosto 2004";"Ceará";"1 Indústria geral";"109,8"
"agosto 2004";"Pernambuco";"1 Indústria geral";"74,7"
"agosto 2004";"Bahia";"1 Indústria geral";"87,3"
"setembro 2004";"Ceará";"1 Indústria geral";"118,1"
"setembro 2004";"Pernambuco";"1 Indústria geral";"87,2"
"setembro 2004";"Bahia";"1 Indústria geral";"89,5"
"outubro 2004";"Ceará";"1 Indústria geral";"122,9"
"outubro 2004";"Pernambuco";"1 Indústria geral";"99,4"
"outubro 2004";"Bahia";"1 Indústria geral";"94,0"
"novembro 2004";"Ceará";"1 Indústria geral";"124,3"
"novembro 2004";"Pernambuco";"1 Indústria geral";"95,8"
"novembro 2004";"Bahia";"1 Indústria geral";"92,5"
"dezembro 2004";"Ceará";"1 Indústria geral";"108,2"
"dezembro 2004";"Pernambuco";"1 Indústria geral";"97,4"
"dezembro 2004";"Bahia";"1 Indústria geral";"90,6"
"janeiro 2005";"Ceará";"1 Indústria geral";"99,3"
"janeiro 2005";"Pernambuco";"1 Indústria geral";"91,9"
"janeiro 2005";"Bahia";"1 Indústria geral";"88,5"
"fevereiro 2005";"Ceará";"1 Indústria geral";"89,1"
"fevereiro 2005";"Pernambuco";"1 Indústria geral";"75,4"
"fevereiro 2005";"Bahia";"1 Indústria geral";"81,6"
"março 2005";"Ceará";"1 Indústria geral";"96,7"
"março 2005";"Pernambuco";"1 Indústria geral";"77,2"
